
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is18000
 h k l 2theta Intensity
0 0 2 11.808641 111353.254292
0 1 0 18.636903 4281.930886
0 1 1 19.563337 21354.638635
0 1 2 22.119686 4421.304743
0 0 4 23.745068 8932.240021
0 1 3 25.849164 7214.106830
0 1 4 30.355218 1304.573407
1 1 0 32.574901 8066.099314
1 1 2 34.762268 12816.182767
0 1 5 35.383842 2259.584602
0 0 6 35.950079 1901.579614
0 2 0 37.791016 300.922396
0 2 1 38.282998 1728.940938
0 2 2 39.727969 509.630165
1 1 4 40.708773 7526.688324
0 1 6 40.791534 467.305407
0 2 3 42.043781 1270.578774
0 2 4 45.122185 337.473743
0 1 7 46.503494 919.637520
0 0 8 48.594447 710.828042
0 2 5 48.854044 786.270067
1 1 6 49.291025 4076.571002
1 2 0 50.732676 232.504711
1 2 1 51.123149 1361.470923
1 2 2 52.281971 422.622512
0 1 8 52.486572 208.702766
0 2 6 53.145862 200.575624
1 2 3 54.174284 1132.171562
1 2 4 56.750524 325.331645
0 2 7 57.927044 456.935394
0 3 0 58.125192 1205.215955
0 1 9 58.734627 437.071224
0 3 2 59.542338 2230.934079
1 1 8 59.730171 2208.449766
1 2 5 59.955809 818.184196
0 2 8 63.151324 115.358648
0 3 4 63.678271 1796.951775
1 2 6 63.738528 223.935183
1 2 7 68.056815 544.111113
2 2 0 68.237915 719.336167
0 2 9 68.795920 262.817698
2 2 2 69.537768 1354.549488
0 3 6 70.269656 1310.190554
1 3 0 71.438879 77.719126
1 3 1 71.758359 459.801080
1 3 2 72.713335 147.034827
1 2 8 72.882993 145.966809
2 2 4 73.375419 1143.452287
1 3 3 74.294175 412.550153
1 3 4 76.487220 125.802277
1 2 9 78.206834 353.083831
0 3 8 79.079337 911.268146
1 3 5 79.277967 339.227002
2 2 6 79.613805 893.530729
0 4 0 80.734797 26.820059
0 4 1 81.041816 159.189616
0 4 2 81.961355 51.401911
1 3 6 82.654923 100.424855
0 4 3 83.489422 146.550668
0 4 4 85.621172 45.688693
1 3 7 86.613930 266.164887
2 2 8 88.158317 679.387225
0 4 5 88.353506 126.706128
2 3 0 89.788419 40.660376
2 3 1 90.091564 242.081543
2 3 2 91.001047 78.889862
1 3 8 91.163145 78.580131
0 4 6 91.688564 38.799995
2 3 3 92.517528 228.376748
2 3 4 94.643811 72.722043
0 4 7 95.638291 106.956377
1 4 0 95.807220 568.590494
1 3 9 96.329384 211.140146
1 4 2 97.027466 1111.924324
2 3 5 97.387479 207.172699
0 4 8 100.230637 33.008694
1 4 4 100.709849 1049.176345
2 3 6 100.764835 65.523789
2 3 7 104.806750 187.493471
0 4 9 105.518869 93.127041
1 4 6 106.956935 981.614252
0 5 0 108.115319 15.213368
0 5 1 108.434565 91.095842
0 5 2 109.395923 30.198193
2 3 8 109.567835 60.342227
0 5 3 111.011072 89.929092
0 5 4 113.302427 29.782402
3 3 0 114.570021 237.866402
2 3 9 115.142269 178.345863
3 3 2 115.910616 475.598827
1 4 8 116.090936 951.269144
0 5 5 116.308374 89.192715
2 4 0 117.920255 29.794161
2 4 1 118.263882 178.894036
2 4 2 119.301526 59.795212
3 3 4 120.030362 479.525564
0 5 6 120.092781 29.977159
2 4 3 121.054957 180.562536
2 4 4 123.565924 61.001961
0 5 7 124.762987 92.244215
2 4 5 126.906710 187.669013
3 3 6 127.320731 502.300832
1 5 0 128.722853 31.818256
1 5 1 129.112474 191.672326
1 5 2 130.294559 64.712538
0 5 8 130.507380 32.434344
2 4 6 131.201823 65.396036
1 5 3 132.312331 198.892466
1 5 4 135.251820 69.052449
2 4 7 136.676772 211.792793
0 5 9 137.688050 107.677735
3 3 8 138.974754 587.305899
1 5 5 139.272875 221.430435
2 4 8 143.790042 80.860742
1 5 6 144.688844 82.528831
1 5 7 152.227697 304.413636
0 6 0 152.590615 410.698949
2 4 9 153.740886 320.176767
0 6 2 155.354255 904.703736
3 4 0 160.081339 69.000763
3 4 1 160.991116 432.826043
3 4 2 164.016427 170.422035
1 5 8 164.615955 176.851680
0 6 4 166.505875 1607.395576
3 4 3 171.039154 901.931771

Start of a new data set 
The energy is18000
 h k l 2theta Intensity
0 0 2 11.808641 111353.254292
0 1 0 18.636903 4281.930886
0 1 1 19.563337 21354.638635
0 1 2 22.119686 4421.304743
0 0 4 23.745068 8932.240021
0 1 3 25.849164 7214.106830
